a	a	art_def
abordagens	abordagem	nom
abordam	abordar	ver
abordamos	abordar	ver
abordando	abordar	ver
abordar	abordar	ver
abordara	abordar	ver
abordaram	abordar	ver
abordarei	abordar	ver
abordarem	abordar	ver
abordaremos	abordar	ver
abordaria	abordar	ver
abordariam	abordar	ver
abordarmos	abordar	ver
abordará	abordar	ver
abordasse	abordar	ver
abordassem	abordar	ver
abordava	abordar	ver
abordavam	abordar	ver
aborde	abordar	ver
abordei	abordar	ver
abordem	abordar	ver
abordo	abordar	ver
abordou	abordar	ver
abordável	abordável	adj
aborrece	aborrecer	ver
aborrecem	aborrecer	ver
aborrecemos	aborrecer	ver
aborrecendo	aborrecer	ver
aborrecer	aborrecer	ver
aborreceram	aborrecer	ver
aborrecesse	aborrecer	ver
aborreceu	aborrecer	ver
aborreci	aborrecer	ver
aborrecia	aborrecer	ver
aborreciam	aborrecer	ver
aborrecida	aborrecido	adj
aborrecidas	aborrecido	adj
aborrecido	aborrecido	adj
aborrecidos	aborrecido	adj
aborrecimento	aborrecimento	nom
aborrecimentos	aborrecimento	nom
aborrecível	aborrecível	adj
aborregada	aborregar	ver
aborreça	aborrecer	ver
aborreço	aborrecer	ver
aborta	abortar	ver
abortada	abortado	adj
abortadas	abortar	ver
abortado	abortar	ver
abortados	abortado	adj
abortam	abortar	ver
abortamento	abortamento	nom
abortamentos	abortamento	nom
abortando	abortar	ver
abortar	abortar	ver
abortaram	abortar	ver
abortarem	abortar	ver
abortasse	abortar	ver
aborte	abortar	ver
abortiva	abortivo	adj
abortivas	abortivo	adj
abortivo	abortivo	adj
abortivos	abortivo	adj
aborto	aborto	nom
abortos	aborto	nom
abortou	abortar	ver
aborígene	aborígene	nom
aborígenes	aborígene	adj
aborígine	aborígine	adj
aborígines	aborígine	adj
abotoa	abotoar	ver
abotoada	abotoado	adj
abotoado	abotoado	adj
abotoadura	abotoadura	nom
abotoaduras	abotoadura	nom
abotoamento	abotoamento	nom
abotoar	abotoar	ver
abou	abar	ver
abra	abrir	ver
abraca	abracar	ver
abracadabra	abracadabra	nom
abracar	abracar	ver
abrace	abraçar	ver
abracei	abraçar	ver
abracem	abraçar	ver
abraces	abraçar	ver
abraco	abracar	ver
abraham	abraham	nom
abram	abrir	ver
abramos	abrir	ver
abranda	abrandar	ver
abrandada	abrandado	adj
abrandadas	abrandado	adj
abrandado	abrandado	ver
abrandados	abrandado	adj
abrandam	abrandar	ver
abrandamento	abrandamento	nom
abrandando	abrandar	ver
abrandar	abrandar	ver
abrandaram	abrandar	ver
abrandaria	abrandar	ver
abrandasse	abrandar	ver
abrandava	abrandar	ver
abrandem	abrandar	ver
abrandou	abrandar	ver
abrange	abranger	ver
abrangem	abranger	ver
abrangendo	abranger	ver
abrangente	abrangente	adj
abrangentes	abrangente	adj
abranger	abranger	ver
abrangeram	abranger	ver
abrangerem	abranger	ver
abrangeria	abranger	ver
abrangeriam	abranger	ver
abrangerá	abranger	ver
abrangesse	abranger	ver
abrangessem	abranger	ver
abrangeu	abranger	ver
abrangia	abranger	ver
abrangiam	abranger	ver
abrangida	abrangido	adj
abrangidas	abrangido	adj
abrangido	abranger	ver
abrangidos	abrangido	adj
abrangência	abrangência	nom
abrangências	abrangência	nom
abranja	abranger	ver
abranjam	abranger	ver
abrantes	abrantes	nom
abras	abrir	ver
abrasa	abrasar	ver
abrasada	abrasado	adj
abrasado	abrasar	ver
abrasador	abrasador	adj
abrasadora	abrasador	adj
abrasadoras	abrasador	adj
abrasados	abrasar	ver
abrasante	abrasante	adj
abrasar	abrasar	ver
abrasaram	abrasar	ver
abrasem	abrasar	ver
abrasileira	abrasileirar	ver
abrasileirada	abrasileirar	ver
abrasileiradas	abrasileirar	ver
abrasileirado	abrasileirar	ver
abrasileiramento	abrasileiramento	nom
abrasileirando	abrasileirar	ver
abrasileirar	abrasileirar	ver
abrasileiraram	abrasileirar	ver
abrasiva	abrasivo	adj
abrasivas	abrasivo	adj
abrasividade	abrasividade	nom
abrasivo	abrasivo	adj
abrasivos	abrasivo	nom
abrasão	abrasão	nom
abrasões	abrasão	nom
abraão	abraão	nom
abraça	abraçar	ver
abraçada	abraçar	ver
abraçadas	abraçar	ver
abraçadeira	abraçadeira	nom
abraçadeiras	abraçadeira	nom
abraçado	abraçar	ver
abraçados	abraçado	adj
abraçam	abraçar	ver
abraçamos	abraçar	ver
abraçando	abraçar	ver
abraçar	abraçar	ver
abraçara	abraçar	ver
abraçaram	abraçar	ver
abraçarem	abraçar	ver
abraçaria	abraçar	ver
abraçará	abraçar	ver
abraçarão	abraçar	ver
abraçasse	abraçar	ver
abraçassem	abraçar	ver
abraçava	abraçar	ver
abraçavam	abraçar	ver
abraço	abraço	nom
abraços	abraço	nom
abraçou	abraçar	ver
abre	abrir	ver
abrem	abrir	ver
abres	abrir	ver
abreu	abreu	nom
abreugrafia	abreugrafia	nom
abrevia	abreviar	ver
abreviada	abreviar	ver
abreviadamente	abreviadamente	adv
abreviadas	abreviar	ver
abreviado	abreviar	ver
abreviados	abreviar	ver
abreviam	abreviar	ver
abreviando	abreviar	ver
abreviar	abreviar	ver
abreviaram	abreviar	ver
abreviaria	abreviar	ver
abreviassem	abreviar	ver
abreviatura	abreviatura	nom
abreviaturas	abreviatura	nom
abreviava	abreviar	ver
abreviação	abreviação	nom
abreviações	abreviação	nom
